Sample name	title	source name	organism	idat file 1	idat file 2	subexperiment	CORIELL_ID	cell_line	donor_age	donor_sex	culture_oxygen	culture_agent	culture_pctFBS	expression_vector	subculture	population_doublings	days_in_culture	batch_date 	growth protocol	treatment protocol	molecule	label	platform
203723190076_R01C01	FSF1_1	Skin, sacrum	Homo sapiens	203723190076_R01C01_Grn.idat	203723190076_R01C01_Red.idat	Baseline profiling	AG06561	Fetal_skin_fibroblast_1	16 fetal weeks	female	Ambient	NA	Full	NA	NA	16.62492091	10	10.04.19	Fibroblasts were maintained in Eagle’s MEM with Earle’s salts and non-essential amino acids with 15% v/v fetal bovine serum. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent. 	NA	genomic DNA	Cy3 and Cy5	GPL23976
203723190088_R01C01	FSF1_2	Skin, sacrum	Homo sapiens	203723190088_R01C01_Grn.idat	203723190088_R01C01_Red.idat	Baseline profiling	AG06561	Fetal_skin_fibroblast_1	16 fetal weeks	female	Ambient	NA	Full	NA	a	21.07177991	17	10.04.19	Fibroblasts were maintained in Eagle’s MEM with Earle’s salts and non-essential amino acids with 15% v/v fetal bovine serum. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent. 	NA	genomic DNA	Cy3 and Cy5	GPL23976
203723190076_R02C01	FSF1_3	Skin, sacrum	Homo sapiens	203723190076_R02C01_Grn.idat	203723190076_R02C01_Red.idat	Baseline profiling	AG06561	Fetal_skin_fibroblast_1	16 fetal weeks	female	Ambient	NA	Full	NA	b	21.20086342	17	10.04.19	Fibroblasts were maintained in Eagle’s MEM with Earle’s salts and non-essential amino acids with 15% v/v fetal bovine serum. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent. 	NA	genomic DNA	Cy3 and Cy5	GPL23976
203723190088_R02C01	FSF1_4	Skin, sacrum	Homo sapiens	203723190088_R02C01_Grn.idat	203723190088_R02C01_Red.idat	Baseline profiling	AG06561	Fetal_skin_fibroblast_1	16 fetal weeks	female	Ambient	NA	Full	NA	c	23.59268293	21	10.04.19	Fibroblasts were maintained in Eagle’s MEM with Earle’s salts and non-essential amino acids with 15% v/v fetal bovine serum. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent. 	NA	genomic DNA	Cy3 and Cy5	GPL23976
203723190076_R03C01	FSF1_5	Skin, sacrum	Homo sapiens	203723190076_R03C01_Grn.idat	203723190076_R03C01_Red.idat	Baseline profiling	AG06561	Fetal_skin_fibroblast_1	16 fetal weeks	female	Ambient	NA	Full	NA	b	23.92605059	21	10.04.19	Fibroblasts were maintained in Eagle’s MEM with Earle’s salts and non-essential amino acids with 15% v/v fetal bovine serum. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent. 	NA	genomic DNA	Cy3 and Cy5	GPL23976
203723190088_R03C01	FSF1_6	Skin, sacrum	Homo sapiens	203723190088_R03C01_Grn.idat	203723190088_R03C01_Red.idat	Baseline profiling	AG06561	Fetal_skin_fibroblast_1	16 fetal weeks	female	Ambient	NA	Full	NA	c	27.6761278	26	10.04.19	Fibroblasts were maintained in Eagle’s MEM with Earle’s salts and non-essential amino acids with 15% v/v fetal bovine serum. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent. 	NA	genomic DNA	Cy3 and Cy5	GPL23976
203723190076_R04C01	FSF1_7	Skin, sacrum	Homo sapiens	203723190076_R04C01_Grn.idat	203723190076_R04C01_Red.idat	Baseline profiling	AG06561	Fetal_skin_fibroblast_1	16 fetal weeks	female	Ambient	NA	Full	NA	b	27.81915958	26	10.04.19	Fibroblasts were maintained in Eagle’s MEM with Earle’s salts and non-essential amino acids with 15% v/v fetal bovine serum. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent. 	NA	genomic DNA	Cy3 and Cy5	GPL23976
203723190076_R05C01	FSF1_8	Skin, sacrum	Homo sapiens	203723190076_R05C01_Grn.idat	203723190076_R05C01_Red.idat	Baseline profiling	AG06561	Fetal_skin_fibroblast_1	16 fetal weeks	female	Ambient	NA	Full	NA	b	30.38484823	31	10.04.19	Fibroblasts were maintained in Eagle’s MEM with Earle’s salts and non-essential amino acids with 15% v/v fetal bovine serum. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent. 	NA	genomic DNA	Cy3 and Cy5	GPL23976
203723190088_R04C01	FSF1_9	Skin, sacrum	Homo sapiens	203723190088_R04C01_Grn.idat	203723190088_R04C01_Red.idat	Baseline profiling	AG06561	Fetal_skin_fibroblast_1	16 fetal weeks	female	Ambient	NA	Full	NA	c	30.46565441	31	10.04.19	Fibroblasts were maintained in Eagle’s MEM with Earle’s salts and non-essential amino acids with 15% v/v fetal bovine serum. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent. 	NA	genomic DNA	Cy3 and Cy5	GPL23976
203723190076_R06C01	FSF1_10	Skin, sacrum	Homo sapiens	203723190076_R06C01_Grn.idat	203723190076_R06C01_Red.idat	Baseline profiling	AG06561	Fetal_skin_fibroblast_1	16 fetal weeks	female	Ambient	NA	Full	NA	b	33.77352109	36	10.04.19	Fibroblasts were maintained in Eagle’s MEM with Earle’s salts and non-essential amino acids with 15% v/v fetal bovine serum. Triplicate cultures derived from the same parent plate or vial obtained from Coriell were maintained in parallel through replicative senescence, which was defined in this study as drastically slowed growth (inability to reach near-confluence at 14 days after previous passage) or viable fraction of cells falling below 60%. Passaging occurred as cells became approximately 90% confluent. 	NA	genomic DNA	Cy3 and Cy5	GPL23976
